angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
33	0.00252749
33.03	0.00267378
33.06	0.00296877
33.09	0.00292321
33.12	0.00314471
33.15	0.00323254
33.18	0.00323243
33.21	0.00370293
33.24	0.00319935
33.27	0.00440751
33.3	0.0038932
33.33	0.00448714
33.36	0.0041747
33.39	0.00438085
33.42	0.00454211
33.45	0.00435524
33.48	0.00367215
33.51	0.00419875
33.54	0.00527768
33.57	0.00543456
33.6	0.00756452
33.63	0.00698902
33.66	0.0075938
33.69	0.0077709
33.72	0.00811216
33.75	0.00866669
33.78	0.00938857
33.81	0.00925599
33.84	0.0106613
33.87	0.0112765
33.9	0.0122251
33.93	0.011492
33.96	0.0136843
33.99	0.0141785
34.02	0.0140039
34.05	0.0153136
34.08	0.0181023
34.11	0.0202895
34.14	0.0227212
34.17	0.0240645
34.2	0.0247116
34.23	0.0240833
34.26	0.0232485
34.29	0.0231363
34.32	0.0193391
34.35	0.0161461
34.38	0.0131225
34.41	0.00901373
34.44	0.00894654
34.47	0.0061633
34.5	0.00303292
34.53	0.00366287
34.56	0.00231155
34.59	0.00155421
34.62	0.000667914
34.65	0.000743702
34.68	0.000721189
34.71	0.000290044
34.74	0.000760358
34.77	0.000326532
34.8	0.000573251
34.83	3.13E-05
34.86	0.000340684
34.89	0.000492823
34.92	-0.000236934
34.95	0.000242211
34.98	9.45E-05
