angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
33.8	0.00324175
33.8	0.00322175
33.81	0.00326806
33.82	0.00301684
33.82	0.00354914
33.83	0.00321665
33.83	0.00333769
33.84	0.00367764
33.84	0.00334688
33.85	0.00342656
33.85	0.00353076
33.86	0.00347912
33.86	0.00345793
33.87	0.0036313
33.87	0.00363662
33.88	0.00347724
33.88	0.00349793
33.89	0.00354275
33.89	0.00370743
33.9	0.00360351
33.9	0.00365783
33.91	0.00382055
33.91	0.00359313
33.92	0.00376379
33.92	0.00374509
33.93	0.00364593
33.93	0.00379567
33.94	0.00366357
33.94	0.00383654
33.95	0.00374178
33.95	0.00388411
33.96	0.00387144
33.96	0.003867
33.97	0.00417535
33.97	0.00361547
33.98	0.0039451
33.98	0.00366353
33.99	0.00383147
33.99	0.00367084
34	0.00381794
34	0.00363134
34.01	0.00395216
34.01	0.00365772
34.02	0.00360348
34.02	0.00355487
34.03	0.00323131
34.03	0.00366052
34.04	0.00383894
34.04	0.00360704
34.05	0.00380158
34.05	0.00386904
34.06	0.00379775
34.06	0.00389963
34.07	0.00422598
34.07	0.00397332
34.08	0.0042743
34.08	0.00483209
34.09	0.00416445
34.09	0.00442661
34.1	0.00459512
34.1	0.00438842
34.11	0.00457774
34.11	0.00446486
34.12	0.00513438
34.12	0.00388392
34.13	0.00460481
34.13	0.00454763
34.14	0.00493694
34.14	0.00451995
34.15	0.00465682
34.15	0.00443944
34.16	0.00462772
34.16	0.00443972
34.17	0.00453864
34.17	0.0045521
34.18	0.00463443
34.18	0.00442937
34.19	0.00422245
34.19	0.00435023
34.2	0.00426718
34.2	0.00410765
34.21	0.00397359
34.21	0.00344344
34.22	0.00358385
34.22	0.00405037
34.23	0.00390234
34.23	0.00400746
34.24	0.00366514
34.24	0.0036148
34.25	0.00367881
34.25	0.00342006
34.26	0.00315672
34.26	0.0031109
34.27	0.00311627
34.27	0.00276505
34.28	0.00225421
34.28	0.00280079
34.29	0.002598
34.29	0.00269902
34.3	0.00298606
34.3	0.00249966
34.31	0.00198807
34.31	0.00216441
34.32	0.00203078
34.32	0.00204039
34.33	0.00175508
34.33	0.00179939
34.34	0.00127295
34.34	0.00159623
34.35	0.00111666
34.35	0.00100231
34.36	0.00102124
34.36	0.00149328
34.37	0.00124491
34.37	0.000796367
34.38	0.000977875
34.38	0.000824227
