angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
34.5	0.00040411
34.51	9.43E-06
34.51	0.000288004
34.52	0.000191729
34.52	0.000105836
34.53	0.000111282
34.53	7.82E-05
34.54	0.000359015
34.54	0.000138935
34.55	0.000245424
34.55	0.000234434
34.56	0.000109945
34.56	-0.000198866
34.57	-6.82E-05
34.57	0.00019287
34.58	0.000287366
34.58	0.00016458
34.59	0.000112635
34.59	0.000212601
34.6	0.000247889
34.6	0.000236314
34.61	0.000201338
34.61	0.000259641
34.62	0.000304874
34.62	0.000214581
34.63	0.000212219
34.63	-6.85E-05
34.64	0.000205827
34.64	0.000386873
34.65	0.000482539
34.65	0.000409144
34.66	0.000398209
34.66	0.000272401
34.67	-0.000220208
34.67	0.000333118
34.68	0.000297896
34.68	0.000224865
34.69	0.000239014
34.69	0.000569215
34.7	0.000379358
34.7	0.000377821
34.71	0.00066302
34.71	0.000508418
34.72	0.000388354
34.72	0.000306222
34.73	0.000330368
34.73	4.24E-05
34.74	0.00029399
34.74	0.000145308
34.75	0.00103394
34.75	0.000527107
34.76	0.000385844
34.76	0.000494194
34.77	0.000498585
34.77	0.000687679
34.78	0.000499727
34.78	0.000321294
34.79	0.000304418
34.79	0.000645096
34.8	0.00047745
34.8	0.000487184
34.81	0.000940136
34.81	0.00120422
34.82	0.00106864
34.82	0.00171856
34.83	0.0024458
34.83	0.00352487
34.84	0.00501824
34.84	0.00779911
34.85	0.0116582
34.85	0.0165024
34.86	0.0222167
34.86	0.0287079
34.87	0.0349282
34.87	0.0412266
34.88	0.0462738
34.88	0.0503705
34.89	0.0537144
34.89	0.0556002
34.9	0.0560775
34.9	0.0558509
34.91	0.0542659
34.91	0.0532037
34.92	0.0494218
34.92	0.0452339
34.93	0.0412977
34.93	0.0358557
34.94	0.0310824
34.94	0.0266106
34.95	0.0219918
34.95	0.0175411
34.96	0.0141971
34.96	0.0108818
34.97	0.00834176
34.97	0.00700335
34.98	0.00502242
34.98	0.00430806
34.99	0.00355798
34.99	0.0026064
35	0.00242712
35	0.00200406
35.01	0.00154164
35.01	0.00148032
35.02	0.00138793
35.02	0.000964779
35.03	0.000582999
35.03	0.000690007
35.04	0.000656787
35.04	0.00044289
35.05	0.000372648
35.05	-0.000226479
35.06	-5.95E-05
35.06	0.000677704
35.07	0.000153342
